From EU Taxonomy compass,NACE,NACE sector,TAC NACE 2021,TAC rationale,"TAC is country dependent (0 = no, 1 = yes)",TEC NACE 2021,TEC rationale,"TEC is country dependent (0 = no, 1 = yes)"
1.0,C.29.1,Manufacture of motor vehicles,0.022113687136430214,"Share of Battery Electric Vehicles (hybrid plug-in do not qualify) produced in EU (2019 data, source European Environment Agency: “Monitoring of CO2 Emissions from Passenger Cars – Regulation (EU) 2019/631 —European Environment Agency,” Data, June 26, 2020, https://www.eea.europa.eu/data-and-maps/daviz/new-electric-vehicles-in-eu/#tab-chart_2).",1.0,0.9653596708429052,"Share of ICE vehicles produced in EU (2019 data, source European Environment Agency: “Monitoring of CO2 Emissions from Passenger Cars – Regulation (EU) 2019/631 —European Environment Agency,” Data, June 26, 2020, https://www.eea.europa.eu/data-and-maps/daviz/new-electric-vehicles-in-eu/#tab-chart_2).",0
1.0,C.30.1,Building of ships and boats,0.0,Share of hybrid and dual fuel vessels using at least 50 % of their energy from zero direct (tailpipe) CO2 emission fuels or plug-in power for their normal operation is negligible,0.0,1,Complement to 1 of TAC,0
1.0,C.30.2,Manufacture of railway locomotives and rolling stock,0.562429861685148,"Share of Electrified railway lines over total (2019 data, source Eurostat: https://ec.europa.eu/eurostat/databrowser/view/RAIL_IF_LINE_NA__custom_1160037/default/table?lang=en). This is a conservative TAC, as new railways will arguably be electrified or bimodal.",1.0,0.43757013831485203,Complement to 1 of TAC,0
0.0,C.30.3,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,There are technological challenges to the transition to low-carbon fuels for this type of transport. ,0
0.0,C.30.4,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,There are technological challenges to the transition to low-carbon fuels for this type of transport. ,0
1.0,C.30.9,Manufacture of transport equipment n.e.c.,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,1,Complement to 1 of TAC,0
1.0,C.33.12,Repair of machinery,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.33.15,Repair and maintenance of ships and boats,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,1,Complement to 1 of TAC,0
1.0,C.33.15,Repair and maintenance of ships and boats,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,1,Complement to 1 of TAC,0
0.0,C.33.16,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,This NACE sector inherits the TEC of NACE sector H.51.,0
1.0,C.33.17,Repair and maintenance of other transport equipment,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,1,Complement to 1 of TAC,0
1.0,D.35.11,Production of electricity,0.3461664409569832,"Share of the production of electricity and derived heat from renewable sources in the EU (2019 data, source Eurostat: https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_1160933/default/table?lang=en)",1.0,0.39,"Share of the production of electricity and derived heat from fossil fuels in the EU (2019 data, source Eurostat: https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_1160933/default/table?lang=en)",0
1.0,D.35.12,Transmission of electricity,1.0,"The interconnected European System of transmission and distribution of electricity meets the criteria (source: JRC study). The only portion of the activity that is not aligned are those related to the direct connection of carbon intensive power plants to the grid. At this stage, we are not able to provide an estimate for this portion, which is expected to be small compared to the whole activity (also in terms of Km of transmission lines). Therefore, we set the TAC to 100%.",0.0,0,Complement to 1 of TAC.,0
1.0,D.35.13,Distribution of electricity,1.0,"The interconnected European System of transmission and distribution of electricity meets the criteria defined in the column 'Metrics and Threshold"" (source: JRC study). The only portion of the activity that is not aligned are those related to the direct connection from e.g. carbon intensive power plants to the grid. At this stage, we are not able to provide an estimate for this portion, which is expected to be small compared to the whole activity (also in terms of Km of transmission lines). Therefore, in 2020 we set the TAC to 100%.",0.0,0,Complement to 1 of TAC.,0
0.0,D.35.2,,0.0,The share of Taxonomy-aligned activities within this NACE code is 0 since the activities in this code are not eligible (not included in the Taxonomy).,0.0,1,This NACE code contains 4 digit codes with TEC 0.99 and 1. We thus take the maximum. ,0
1.0,D.35.21,Manufacture of gas,0.01,"""Currently, biogas and biomethane projects represent only a small fraction of total global spending on gas. Investments have averaged less than USD 4 billion per year over the last decade, the same amount the natural gas industry typically spends every week. In the STEPS, annual spending on biogas and biomethane rises more than threefold to reach around USD 14 billion by 2040. [...] The share of biomethane and biogas in total investment spending on gas remains well below 5%"" (2020 data, source IEA:https://iea.blob.core.windows.net/assets/03aeb10c-c38c-4d10-bcec-de92e9ab815f/Outlook_for_biogas_and_biomethane.pdf)",1.0,0.99,"Complement to 1 of TAC. The revenues of this NACE sector currently depend almost entirely from extraction, manufacturing or sale of fossil fuel. ",0
1.0,D.35.22,Distribution of gaseous fuels through mains,0.0,The share of low-carbon gases is currently negligible.,0.0,1,"Complement to 1 of TAC. The revenues of this NACE sector currently depend almost entirely from extraction, manufacturing or sale of fossil fuel. ",0
1.0,D.35.3,Steam and air conditioning supply,0.21,"Renewable energy (incl. derived heat) accounts for 21% of the total energy used for heating and cooling in the European Union (EU) (2018 data, source Eurostat: https://ec.europa.eu/eurostat/web/products-eurostat-news/-/ddn-20200211-1).
For the TAC activity, we make following considerations. ‘Efficient district heating and cooling’ means a district heating or cooling system using at least 50 % renewable energy, 50 % waste heat, 75 % cogenerated heat or 50 % of a combination of such energy and heat (Directive 2012/27/EU). In 2018, renewable energy (incl. derived heat) accounted for 21% of the total energy used for heating and cooling in the European Union (EU) (souce Eurostat: https://ec.europa.eu/eurostat/web/products-eurostat-news/-/ddn-20200211-1). The TAC of the activity corresponds to the mean between the following two scenarios: 1) aligned installations are all using a share of 100% renewables, in this case the TAC would be 21%, and 2) aligned installations are all using a share of 50% renewables, in this case the TAC would be 42%. The resulting TAC activity is (21%+42%)/2 = 31.5%.
",1.0,0.39,"Share of the production of electricity and derived heat from fossil fuels in the EU (2019 data, source Eurostat: https://ec.europa.eu/eurostat/databrowser/view/NRG_BAL_PEH__custom_1160933/default/table?lang=en)",0
1.0,E.36,"Water collection, treatment and supply",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,E.37,Sewerage,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,E.38.11,Collection of non-hazardous waste,0.379,"The share of recycled waste in the EU is 37.9 % (2018 data, source Eurostat: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Waste_statistics)",1.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,E.38.21,Treatment and disposal of non-hazardous waste,0.022,"The total waste generated in the EU amounted to 2 337 million tonnes in 2018 (source Eurostat: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Waste_statistics). Across the EU, between 118 and 138 million tons of bio-waste arise annually, of which currently only about 40% is effectively recycled into high-quality compost and digestate (source: https://www.compostnetwork.info/policy/biowaste-in-europe). Hence, a TAC of 0.022.",1.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,E.38.32,Recovery of sorted materials,1.0,This sector maps entirely to Taxonomy-aligned activities (3.4 and 5.9),0.0,0,This NACE sector is not exposed to transition risk (see TAC).,0
1.0,E.39,Remediation activities and other waste management services,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
