run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,727,10.1002/9781394237029.ch18,doi,10.1002/9781394237029.ch18,crossref:10.1002/9781394237029.ch18,Policy and Governance Approaches for Coastal and Marine Pollution Management,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,727,10.1002/9781394237029.ch18,doi,10.1002/9781394237029.ch18,crossref:10.1002/9781394237029.ch18,Policy and Governance Approaches for Coastal and Marine Pollution Management,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,895,10.1002/9781394334599.ch4,doi,10.1002/9781394334599.ch4,crossref:10.1002/9781394334599.ch4,Digital Twin Approach Toward Modern Power Systems,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,429,10.1002/9781394334599.ch4,doi,10.1002/9781394334599.ch4,crossref:10.1002/9781394334599.ch4,Digital Twin Approach Toward Modern Power Systems,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,429,10.1002/9781394334599.ch4,doi,10.1002/9781394334599.ch4,crossref:10.1002/9781394334599.ch4,Digital Twin Approach Toward Modern Power Systems,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1267,10.1002/cite.201600079,doi,10.1002/cite.201600079,crossref:10.1002/cite.201600079,Reactive Extraction and Critical Raw Materials: Industrial Recovery of Tungsten,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,801,10.1002/cite.201600079,doi,10.1002/cite.201600079,crossref:10.1002/cite.201600079,Reactive Extraction and Critical Raw Materials: Industrial Recovery of Tungsten,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,801,10.1002/cite.201600079,doi,10.1002/cite.201600079,crossref:10.1002/cite.201600079,Reactive Extraction and Critical Raw Materials: Industrial Recovery of Tungsten,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1263,10.1002/cssc.202401170,doi,10.1002/cssc.202401170,crossref:10.1002/cssc.202401170,From Critical Raw Materials to Circular Raw Materials,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,797,10.1002/cssc.202401170,doi,10.1002/cssc.202401170,crossref:10.1002/cssc.202401170,From Critical Raw Materials to Circular Raw Materials,,
